start	end	text
340	5283	A partir de este instante me informa Tommy Sislian que estamos al aire, la gente ya puede
5323	11427	estar mirándonos y tenemos con nosotros al bananero. ¿Cómo estás, papá? ¿Todo bien?
11627	12987	Excelente, Tomás, de fiesta.
18052	22615	Me gusta que ya tiraste un decibel de sape, porque hay una escala de sapes.
22635	26337	No, creo que va a ir ascendiendo. El éver es del sape.
26797	30900	Al final, ya cuando la emoción, el alcohol...
31640	33061	Ya, viste, estamos más altos.
33081	35443	Recítrete un sape sofisticado, como un sape.
35604	39406	Es un sape de sanguchito y un té.
39486	41026	De inicio de conversación.
41046	41307	¿Sape?
41547	41707	¿Sape?
41727	42947	Sophisticado, me gustó, me gustó.
42987	43788	¿Sophisticado?
44088	44668	¿Vos sabés qué?
44828	49410	Mira, lo primero que tengo para decirte, porque está glamoroso también.
49610	50371	Eso también lo noté.
50491	51231	Gracias, Tomás.
51551	51911	Lo que...
52552	60657	Primero lo que tengo para decirte es que a este lugar han venido ministros, dirigentes sociales,
60958	65480	escritoras reconocidas de primer nivel. O sea, es un lujo verdaderamente el panteón que hemos
65500	69143	construido acá en El Método con este equipo de trabajo, pero yo creo que sepas que esta es la
69183	72445	primera vez que yo me voy a ganar el respeto de mis amigos de la secundaria.
73186	77970	Eso es muy importante, tu versión de los 19, 20 años es como que te está diciendo
78010	78471	¿sabes?
78511	79611	Exactamente.
79952	81833	Dentro mío hay alguien diciendo ¿sabes?
82033	87278	Así, enérgicamente que estaba olvidado, creía estar encerrado, luchando por liberarse.
88198	90020	¡Qué hermosa forma lo pusiste, lo planteaste!
90300	91461	Lo contaste como un cuento.
93424	98047	Está ahí, está ahí. Y desde ese lugar yo te digo muchísimas gracias por venir.
98727	106553	Gracias por la invitación y no, y saber ocupar este asiento donde se han sentado personas con un historial,
106693	114798	un conocimiento de varios temas. Yo estar acá que, dentro de todo, soy experto en diferentes temas también,
114938	118961	pero es un contraste bastante importante que la verdad...
120023	121904	me hace sentir muy bien y muy bien acogido.
122124	124145	Hermoso. ¿Estás contento de estar acá?
124165	125586	Sí, sí, estoy contento.
125686	128087	Bueno, nosotros estamos contentos de recibirte, contentos también.
128207	131329	Después vamos a ir a esto, pero trajo ofrendas, el bananero,
131729	134431	y yo esto lo quiero destacar porque hay invitados que no traen ofrendas
134571	137213	y los invitados que sí, y los que sí traen son mejores que los que no.
137513	139394	Eso también es importante como para marcarlo por ser.
139414	142096	Creo que haces esa pequeña diferencia si después te van a comparar con uno o otro.
142476	144717	Traje un sanguchito, traje una gorra, traje una birra.
145159	146600	Pero bueno, de mínimas estableceso...
