start	end	text
80	7970	Me informa Thomas Cislian que ya estamos al aire, yo voy a hacer una aclaración preliminar
8110	13156	esta vez en este método, en este encuentro dominical que tenemos, y se le voy a hacer
13176	15779	una aclaración a mi invitado, también ya que estamos, estoy bienvenido, Manuel, ¿cómo
15859	15979	estás?
16319	17020	Hola, ¿cómo estás?
17303	19624	Bueno, de eso quería arrancar a hablar, de cómo estoy.
19784	20104	Ah, sí.
20304	25107	Porque hace como diez días que estoy sin vos,
25527	30469	esta es la primer cosa que hago donde vuelvo a usar las cuerdas vocales.
31189	33811	Con lo cual hay al menos dos escenarios posibles.
34351	37993	Uno es que desfallezca en el medio y vos tengas que seguir adelante.
38033	40354	O sea, deja todo porque yo no voy a tener más cuerda.
41615	44397	El otro es que lo contrario, la abstinencia haga que...
44457	45037	Que yo no hable.
45137	49240	Hace tanto tiempo que no habló, que en realidad tengo tantas cosas que opinar después de diez días,
50621	52302	que puede ser un desequilibrio absoluto.
52322	55584	Puedo surfiar los dos, que me creo en capacidad de surfiar los dos.
55604	57785	Puedes estar en las dos propuestas audiovisuales.
57805	58325	Ningún problema.
59007	64330	perfecto yo me voy a disculpar frente a la gente la hinchada del método porque
64350	70495	me van a escuchar en un tono más que que estoy seteado low-fi reward chill
70695	75698	beats to study to no es como una cosa más para que subir el volumen es más
75738	79380	relax estoy más menos energético podríamos decir
80342	87265	pero con unas ganas de hablar frente a un micrófono, unas ganas de hacer este episodio de una abstinencia social
87385	89666	impresionante. Tengo...
90906	98329	Puedo hablar de cualquier cosa en este momento. Así que te agradezco por haber venido. Al contrario, gracias por la invitación.
99530	104232	Recién antes de arrancar, te estaba preguntando si había algo de lo que no querías hablar.
104853	106653	Me dijiste que no, que estás para hablar de todo.
107334	110695	Y por supuesto, me dije, bueno, vamos a hablar de economía, me imagino.
110955	112896	Sería un problema si no se pudiera hablar de eso.
113176	114997	Pero me generó también esa curiosidad.
115638	116518	Vos que estás tan...
118560	123022	tematizado en términos de perfil público. Es imposible no asociarte a temas de
123042	128224	agenda económica. ¿No te hincha un poco las pelotas a veces estar circunscripto a
128244	134207	economía? Muy poco porque te diría que es lo que más me gusta hacer.
136908	140130	Ponerle que si yo me veo a vacaciones y me llevo un libro, es muy probable que sea
140170	144992	economía. Eso a veces también es un problema, digamos, pero no lo
145012	146993	tengo asociado a como mi trabajo.
148034	152556	Y, bueno, desconecto y me olvido, la verdad que es lo que disfruto.
152616	159199	Ayer bajaba de un avión, volvía de Chaco y estaba muy trabada la salida, ¿sabes?
159219	163521	Cuando está todo el mundo que se quiere ir del avión y no abre la puerta, no sé qué.
164683	172674	Y entonces la persona que estaba al lado mío, cuando se empieza a destrabar la fila,
173475	177741	me dice, me quedé con las ganas de preguntarte si la economía se va a la mierda.
179064	184346	Y le digo, yo por lo pronto me quiero ir a la mierda acá, pero no sé qué aguanta antes, no sé qué explota antes.
185767	195851	Así que no, no, y lo otro es que yo a veces estoy muy seteado para la cuestión técnica,
196471	200913	o sea, para consultas muy específicas de gente especializada que está mirando esto,
200933	205675	porque tiene que decir una inversión, tiene que hacer algo, tiene que contratar gente,
205695	207336	tiene que comprar un bono, vender un bono.
209479	213643	Y a veces más, en la discusión coloquial con gente que no es especialista,
214523	219608	no solo surgen las cosas más importantes, sino que a vos te pone
220890	224773	en el desafío de no perderte en los tecnicismos, ir al hueso.
