start	end	text
60	4941	Y cuando digas 3, 2, 1, estamos en principio, nuevamente,
5041	8702	en otro episodio del método bienvenidos y bienvenidas.
9202	11583	Voy a arrancar de la manera que suelo hacer ahora,
11603	13103	que es agradeciendo primero.
13223	16004	Eso es un gran recurso para no olvidarme de los agradecimientos
16024	18425	después, porque después, ahora que tenemos marcas y sponsors y
18445	21185	cosas, me llegan observaciones en general, ¿no?
21205	23446	Observaciones como, mira, preferiríamos que usés estas
23486	24846	palabras en vez de otras.
24946	27347	Así que voy a dar lo mejor de mí, lo mejor de mí,
27807	29287	en hacer chivos como un profesional.
30008	32129	Pero no se puede hablar de chivos cuando hablamos de photo experience,
32289	34150	porque son amigos, amigos de la casa.
34391	36492	Ven lo que son estas luces, ven de verdad lo que es esto.
36552	42115	Esto está seteado de una manera nueva por la mejor escuela de fotografía del país.
42155	45297	Es decir, vos querés sacar fotos, decir cómo hago para sacar fotos?
45817	48279	Pregunta la foto experience, papá, si son los que iluminan el método.
48779	52642	Eso, por un lado, también debo agradecer a Corta, el medio que nos
52662	55623	sponsoría y página que deberían visitar tanto para enterarse un poco
56144	58085	qué es lo que está pasando en el país y
59547	64691	No voy a recomendarle Turismo City al invitado de hoy porque acaba de venir de un viaje.
64711	67152	Entonces, creo que llegamos tarde con la política de precios,
67172	69754	pero capaz para la próxima lo pueden considerar.
69854	72536	Eso siempre y cuando lo disponga la investidura presidencial
72576	73737	Alberto Fernández. Bienvenido.
73777	74177	¿Cómo estás?
74318	76299	¿Cómo andamos? Bien.
76319	78721	Turismo City, hay que decirle que venda mucho turismo en Argentina.
79042	80523	Ahí está. Ahí está la solución.
80563	84104	Ahí está. Yo insisto que es bastante hábil para hacer chivos.
84324	86025	Viste lo que es? Están baratos.
86425	90666	Están baratos. Debo confesar que Mirei si estaba leyendo, no estaba leyendo.
90706	92907	No, en absoluto. Muchas gracias, Alberto.
93627	94668	Un gusto que estés acá.
94948	97469	Yo voy a negociar con eso que dijiste de Turismo City, por supuesto,
97489	99770	para seguir aumentando mes a mes, porque venimos haciéndolo muy bien.
99910	101470	Qué bueno, qué alegría.
101710	102811	Gracias por estar acá.
103211	105932	Yo tengo mira, te voy a hacer una primera confesión.
106973	111116	que es que soy el primero que no sabe si que estés acá
111256	114478	es una genialidad o es una locura absoluta.
115938	117579	Y no lo sé.
117679	120241	¿Vos conocés este programa, este formato?
120341	121282	He visto un par de veces.
121362	123003	Te he dicho que te he visto un par de veces.
123083	124544	¿Te gusta? Es raro.
125524	127405	¿Qué pensás del método?
128826	131648	Que es raro. Parece una charla de café.
132228	132888	Parece una charla de café.
132949	135910	Y eso a mucha gente le parece peligroso, por ejemplo.
137273	141058	No sé si la palabra es peligrosa, es como inusual en la lógica periodística,
141098	143921	pareciera ser que hay alguien que toma el rol de periodista,
143941	145263	hay alguien que viene a responder,
146044	149167	pero acá no es que se mezclan los roles porque eso no,
149368	150869	porque está claro que es tu programa.
152254	158598	Pero lo haces con un método, con una lógica, con una forma de expresarte,
158618	162760	con una forma de moverte, que allana mucho la distancia,
162840	168044	allana mucho esa distancia que existe entre un periodista y un entrevistado.
169425	170185	Sos muy directo.
171246	171726	También.
171926	172167	Sí.
