start	end	text
1140	6242	Me informa Tommy Cislian, que estamos al aire y si estamos al aire, ¿saben por qué es?
6522	10684	Y por Corta, en parte por Corta, corta.com. ¿Por qué no entran ahí?
10804	13084	Cada tanto, a ver qué está pasando, a ver si entran de la realidad.
13665	18746	Habiendo dicho eso, quiero dar la bienvenida a nuestro invitado de hoy, que es Santi Koroski.
18946	19867	Santi, ¿cómo estás?
19927	20427	¿Cómo andas?
20627	23288	Bien, papá. Gracias por darnos esta nota en exclusiva.
23548	28690	Ah, sí. La primera nota que hago sobre División Palermo.
28770	29990	Sobre todo lo que está pasando.
30250	30350	Acá.
31451	49379	No, claramente vamos a tener un desafío juntos. Este es un desafío de ambos y con el público también, que es, bueno, de verdad, esto es algo de lo que podemos hablar. Vos estás justo medio en un raíz de notas que no sé si en otro momento tuviste.
49399	52420	No, cero. Yo no soy de dar notas, no me gusta.
54382	56663	y Garaval me decía, bueno, presta buenas notas,
56683	59585	porque uno se piensa a sí mismo en las entrevistas y demás.
59625	62406	Y yo era como... Tuve, aparte, cuatro años con la serie.
62586	62847	Sí.
63307	65388	Y no quería poner la energía ahí.
65408	68650	Entonces, por ahí me escribían para hacer notas.
68670	70551	Yo dije, bueno, en un año hablamos, cuando salga la serie.
70911	72712	Me quedaron todas esas en un año hablamos.
73133	74473	Y, además, ahora explotó.
75034	78756	Y como la verdad es que no es que haya fiches por toda la ciudad ni nada,
79317	84440	sentimos que había que salir a dar muchas y bueno, es loco que todo el mundo de
84460	93286	repente tiene tu celular y te escriben, no sé, de Radio Chajarí, de Calamuchita,
93346	95487	hasta el blog de...
96269	101352	una empresa y todos tienen tu celular, y alguna sí que digo no, pero sí que salía a dar un montón
101752	103813	y medio aprendiendo a los golpes como es esto.
104253	108596	Y sí es cierto que lamentablemente en algunas te pones un poco el cassette, como que ya aprendiste el discurso
108996	112859	más o menos que podés ordenar un poco
113619	116661	y en un momento empiezas a repetir y dices, ¡ay! No quiero, ¿viste?
116681	118182	Claro, te volvés loco también.
118202	119042	Te volvés medio loco.
119122	120323	Es difícil, es difícil.
120443	121043	Esta no es la...
122125	124848	No es la primera, pero por ahí es una de las últimas.
124868	127590	Mirá, bueno, cerramos el ciclo, con esta cerramos.
127791	131074	Bueno, esto por empezar, vamos a hacer una aclaración.
131494	133776	Nosotros estamos grabando justo en este frenesí de notas.
134036	136979	No tenemos claro, lo voy a decir a nivel equipo también para que todo el mundo lo sepa,
137019	138360	no sabemos cuándo va a salir esto.
138681	142284	Así que creo que eso nos da un desafío por una oportunidad también,
142304	143385	porque si esto sale...
144168	146150	En junio, no, no creo que sea en junio. Bueno.
146451	149214	Pero si sale en junio, es medio un viaje temporal.
149354	152037	O sea, estamos con cortos, hace calor...
152318	154800	Sí, lío. ...está a pleno de visión Palermo,
154821	158405	pero hay que decir algo nuevo. En junio no está pleno de visión Palermo.
159268	161330	Exactamente. Como, ah, ¿te acordás?
161730	162530	Sí, sí, sí, sí.
162771	167074	Yo, sin duda, creo que lo que pasó es que es un éxito.
167314	169516	O sea, eso yo sí lo veo.
169556	172998	Y el éxito distorsiona, confunde, agarrea.
174199	175780	Me gustaría hablar de eso. Ya me viste raro.
176101	177201	¿Eh? Ya me viste raro.
177301	178743	Estás un poco subido al... Ya me viste...
178763	181084	No, no. ...este chabón.
181525	183586	No, sí, creo que lo que vos hablás de que...
184428	187250	Te escribe a todo el mundo que algo explote, que no sabes cómo.
187590	189432	Te trae cosas nuevas, boludo.
189452	193875	O sea, me acuerdo el otro día vos me decías
193995	195716	el último intercambio que tenemos por Instagram,
195736	199098	que, de hecho, me lo dijo Santi hace relativamente poco,
199619	204162	fue un mensaje que yo te mandé hace cuatro años sobre una historia... 2019. 2019.
204742	208184	2019 subiste una foto, un adelanto, voz y garabal de Cana.
209285	210846	Y yo dije, esto va a ser un escándalo.
211026	213408	Esto va a ser una locura. Esto es una locura. Perfecto.
